TABLE gender
gender.id,gender.sex
1,Male
2,Female
3,Other


TABLE ethny
ethny.id,ethny.ethny
1,Caucasian
2,Black
3,Hispanic
4,Arabic


TABLE marital
marital.id,marital.marital_status
1,single
2,married


TABLE membership
membership.id,membership.membership,membership.hierarchy
1,Admin,0
2,Doctor,1
3,Nurse,2
4,Medical assistant,2
5,Administrative,3
6,Patient,99


TABLE auth_user
auth_user.id,auth_user.username,auth_user.email,auth_user.password,auth_user.first_name,auth_user.last_name,auth_user.sso_id,auth_user.action_token,auth_user.last_password_change,auth_user.past_passwords_hash,auth_user.uid,auth_user.membership,auth_user.maiden_name,auth_user.dob,auth_user.birth_town,auth_user.birth_country,auth_user.gender,auth_user.marital,auth_user.ethny,auth_user.idc_num,auth_user.ssn,auth_user.user_notes,auth_user.chipnumber,auth_user.validfrom,auth_user.validtill,auth_user.initials,auth_user.nationality,auth_user.noblecondition,auth_user.documenttype,auth_user.specialstatus,auth_user.created_on,auth_user.created_by,auth_user.modified_on,auth_user.modified_by,auth_user.is_active
1,mamisoa,mamisoa@gmail.com,"pbkdf2(1000,20,sha512)$b8ec77e627e112a3$46ae70f3dcc5fe44e5ef49c077dc1cbc110d77bb",Mamisoa,Andriantafika,<NULL>,,<NULL>,<NULL>,ca72ac93a0874cdeb25381b8cbb3e2a5,1,<NULL>,<NULL>,Virginal-Samme,Belgique,1,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,2021-02-21 23:39:19,<NULL>,2021-02-21 23:39:19,<NULL>,True
2,evlbuy668,zl89lr13282ip52@swdqv.wdz,AZW58XTJ9JJ,Athena,Foley,PZY06IWF6WW,SNP27OAR7YR,2020-07-15 20:14:34,|NV18NYZ0Y|,1C86F043-1D3E-8115-5801-2CD3333C36BE,1,Buck,1995-08-18,Morelia,Haiti,1,1,2,ZBZ94MYF8RW,QUW54TXW9UH,L0V 5X3,OWM22TDX4CT,2016-08-14,2021-04-08,G,Saint Kitts and Nevis,Baron,8,4,2021-04-01 17:37:32,1,2021-09-21 04:13:08,1,True
3,padwbh570,lv43yo31161xu33@bfcjr.xca,XST64EYU7UU,Palmer,Ortiz,SYU80VWU6DA,UUJ80OLS3YO,2021-02-13 15:16:50,|PJ75JKT0Z|,6131F9C2-CEF0-23B1-C618-4334EABFBA8F,1,Carver,1961-04-10,Landenne,United Kingdom (Great Britain),1,2,2,SOX10YPI5JF,TVS32LNL5JY,G9N 5R7,ZDT58FSM0AV,2015-03-13,2020-03-22,K,Kyrgyzstan,Compte,2,3,2021-08-18 12:47:09,1,2021-07-14 03:48:22,1,False
4,mtqlrr178,zm70mo48250lo55@nhzar.wqz,NXJ95LQI2KJ,Rebecca,Madden,EBZ68ZVL8JC,MSB98OOT2RT,2020-05-04 17:54:25,|NU93UGT4R|,A3BA2CAF-D03F-4216-A9B8-F92D7D7FE1A9,1,Salazar,2016-12-16,Oliver,Iraq,1,1,4,AGE49AMB2ES,HEZ24OYF6QJ,T0M 6M7,EJE19VNR1CX,2018-10-29,2021-12-09,Q,Philippines,Baron,3,5,2021-12-29 09:20:42,1,2021-09-21 01:49:52,1,False
5,rtdrah482,bp33fs43578ty75@wrdko.tyz,EGG62EXK1VQ,Elmo,Sanford,FZQ95BDA8LC,SSC24CLQ6VF,2021-06-29 11:30:20,|XB81KYS3Q|,2E579B81-220D-CEFD-EED7-93944A015D46,1,Foley,1925-04-01,Changwon,Bulgaria,1,2,2,PXY57FSC5UW,CFA03YGI8GJ,Y5I 4M6,DQX40BFS1LX,2018-07-13,2021-09-04,S,Nigeria,Compte,7,6,2021-02-16 15:29:02,1,2020-06-11 04:41:55,1,False
6,ftslpi276,dx19mt94130fv85@dadrq.cyf,XIV23ISA1CB,Marny,Ramirez,LWH18IBL8XF,NSN27CMV3PJ,2022-01-16 09:31:07,|CM07JQL5G|,604C894F-B355-FD91-DBDF-AED98509E198,1,Goodman,1941-08-22,Campagna,Panama,3,1,3,EIP07FPG7TI,DIZ77RGH7HS,L8M 5Y9,SRO36XVW5PS,2016-08-15,2020-10-17,D,Tanzania,,8,9,2021-02-20 07:12:25,1,2021-03-24 00:38:18,1,True
7,adncsm175,kj57dq74847rn53@znplq.wfn,EUC90OIY5UY,Jordan,Silva,TDF60JRL4DE,DHB13AHF9TF,2021-08-04 04:11:53,|LM27LEE6Z|,EEA6E7BB-0B2C-8871-5391-B6CCC9B253A4,1,Pickett,1952-03-17,Dijon,Brazil,3,2,2,NDQ05QDQ1OT,CNM39JVG0WO,N8K 6C4,WSN12OGJ4AT,2017-05-05,2020-08-13,E,Anguilla,Compte,10,9,2020-04-01 16:49:10,1,2020-04-21 14:45:57,1,False
8,iwmdgq065,fs94al06109bs04@coqyx.giu,FJP85QXQ5SL,Shaeleigh,Riggs,AKD52GGE3XB,UGQ51IQA3II,2022-01-13 22:53:02,|XR14LKO9F|,97767B9F-D7A2-0D0C-BB31-B7C0DBDA3023,1,Atkinson,1966-02-20,Osasco,Syria,1,1,1,DQJ97CAT1DU,BSB06QFO5XZ,Z5I 4M5,HTY56CQZ8FY,2018-07-08,2022-02-01,P,Denmark,SAS,4,8,2021-10-13 12:15:54,1,2020-02-23 08:24:53,1,True
9,ezwzyq127,il99tf69964ju25@yhgks.kqx,GED48EHR5IB,Erich,Mccullough,IZM41QPG0YB,LIO45PJW5JH,2021-03-24 23:17:45,|TV37MMF4A|,E56072C7-3605-498C-3D75-496F1827193C,1,Gilliam,2011-04-10,Springfield,Panama,2,2,1,TXT55BVQ8BH,COO92TIB6AY,H5Q 7B2,GDP79IOK8BA,2015-08-10,2021-03-25,N,Niger,,7,1,2021-09-16 15:29:15,1,2021-12-22 06:08:27,1,False
10,pgzeuw634,yj50yk33676in90@goesq.lgt,BHJ05MTS7HZ,Lacota,Sutton,LHO34HAZ4IE,JTL94FJO6BH,2021-10-24 17:40:59,|KY48FUA4C|,DC40BD72-F82E-76A1-B4C1-D1C6E9BF9822,2,Morgan,1984-07-25,Celaya,Bulgaria,1,1,3,ZHX46CBN0EW,QPV76JVZ4SN,Q8H 7S7,WEK10INR1KO,2017-04-22,2021-08-17,R,Sweden,Compte,1,5,2021-09-14 03:16:56,1,2021-11-15 23:04:12,3,True
11,jhrwxn025,ja71jx33094ol11@cgkbb.ctk,NXO27WKO5MH,Cailin,Weeks,ZHI57UDS3CK,AKA64NHW0ET,2021-06-17 12:39:25,|WF78JLN5H|,D887710E-C6FB-2A2E-EBE5-EBF43F800431,2,Blake,2017-01-04,Bekegem,Jamaica,3,1,1,ELE29ZJX0DV,SNC91VXB6XW,E4Q 5R2,QLM61QGM0CC,2016-03-03,2021-04-25,G,Norway,,3,5,2021-05-10 14:54:51,1,2021-09-23 06:29:15,1,True
